"","mean","sd","skew","kurtosis"
"Reg3_B2",1.00891288515406,0.232498447141898,0.260604494840266,0.244022137443063
"Reg3_P2",0,0,NA,NA
"Reg3_ARS",0.532210644257703,0.187799924162911,-0.0794493707124669,-0.916092354646957
